votes,margin2020,fips,results_trumpd,results_bidenj
7147,0.39177,02901,3429,3401
10878,47.18698,02910,7813,2680
10449,37.17102,02911,6968,3084
10976,43.91399,02912,7707,2887
7550,25.82781,02913,4557,2607
11303,21.41909,02914,6632,4211
5397,1.11173,02915,2602,2542
7970,-9.1468,02916,3460,4189
6952,-18.54143,02917,2693,3982
7513,-25.14309,02918,2678,4567
5186,-21.75087,02919,1928,3056
6023,25.2864,02902,3596,2073
7217,-33.94762,02920,2277,4727
9292,-18.41369,02921,3632,5343
9350,1.01604,02922,4585,4490
7531,-2.39012,02923,3543,3723
10289,6.1522,02924,5309,4676
9164,-2.25884,02925,4323,4530
9978,6.53438,02926,5162,4510
9389,-5.581,02927,4267,4791
12642,-0.99668,02928,6099,6225
10731,41.62706,02929,7450,2983
8302,49.97591,02903,6028,1879
10174,44.68252,02930,7181,2635
12389,15.52991,02931,6956,5032
8310,11.2154,02932,4427,3495
10951,-40.88211,02933,3057,7534
10723,-11.35876,02934,4541,5759
10097,-2.38685,02935,4767,5008
9284,14.20724,02936,5111,3792
3123,0.19212,02937,1492,1486
5054,-28.07677,02938,1646,3065
5476,-29.78451,02939,1748,3379
10893,-10.18085,02904,4660,5769
3923,-6.19424,02940,1708,1951
8538,-1.11267,02905,4040,4135
9331,26.48162,02906,5695,3224
9402,49.8511,02907,6860,2173
9710,56.79712,02908,7446,1931
10866,45.62857,02909,7696,2738
19155,58.09449,48001,15062,3934
5856,69.80874,48003,4937,849
34628,46.01479,48005,25070,9136
12241,51.58075,48007,9210,2896
4796,80.35863,48009,4300,446
1112,86.33094,48011,1035,75
18085,34.03373,48013,12020,5865
14368,58.12222,48015,11282,2931
1854,55.17799,48017,1430,407
12703,59.41116,48019,10050,2503
36709,13.71326,48021,20486,15452
1680,77.32143,48023,1478,179
9405,28.91015,48025,5999,3280
125867,8.80374,48027,67113,56032
756021,-18.11484,48029,303871,440823
7419,47.49966,48031,5429,1905
412,91.99029,48033,395,16
9094,64.81196,48035,7446,1552
38194,42.83657,48037,27053,10692
154037,18.28067,48039,89939,61780
84753,14.41129,48041,47456,35242
4805,4.16233,48043,2451,2251
724,77.62431,48045,639,77
2484,-19.00161,48047,998,1470
15940,72.63488,48049,13681,2103
8604,57.57787,48051,6740,1786
24646,53.17699,48053,18721,5615
